key,scope,table,field,ordinal,comment,data_type,display_type,display_options,edit_type,filtering,description,title,ordering,json_field_type,vocabulary_scope_ref,visibility,alias,required,alphanumeric_sort,view_groups
attached_file_id,fields.attachedfile,,,0,,integer,link,"{ 'hrefTemplate': '#attachedfile/{attached_file_id}' }",,TRUE,"Internal attached file ID","Attached File ID",TRUE,,,[d],,,,
screensaver_user_id,fields.attachedfile,screensaver_user,,1,,integer,link,"{ 'hrefTemplate': '#screensaveruser/{screensaver_user_id}', 'hideIfEmpty': true }",,TRUE,"Screensaver User ID attached to","Screensaver User ID",TRUE,,,[d],,,,
username,fields.attachedfile,screensaver_user,,1,,string,link,"{ 'hrefTemplate': '#screensaveruser/{username}', 'hideIfEmpty': true }",,TRUE,Username,Username,TRUE,,,,,,,
user_fullname,fields.attachedfile,custom,,2,,string,,"{ 'hideIfEmpty': true }",,TRUE,"The full name of the user (last, first)",Name,TRUE,,,[d],,,,
filename,fields.attachedfile,,,3,,string,link,"{ 'hrefTemplate': '/db/attachedfile/{attached_file_id}/content' }",,TRUE,"File Name","File Name",TRUE,,,[l;d],,TRUE,,
type,fields.attachedfile,,,4,,string,,,select,TRUE,Type,Type,TRUE,,attachedfiletype.*,[l;d],,TRUE,,
created_by_username,fields.attachedfile,custom,,5,,string,,,,TRUE,"Created By Username","Created By",TRUE,,,[d],,,,
file_date,fields.attachedfile,,,6,,date,,,,TRUE,"File Date","File Date",TRUE,,,[d],,,,
date_created,fields.attachedfile,,,7,,date,link,"{ 'hrefTemplate': '#attachedfile/{attached_file_id}' }",,TRUE,"Date Created","Date Created",TRUE,,,[l;d],,,,
date_loaded,fields.attachedfile,,,8,,date,,,,TRUE,"Date Loaded","Date Loaded",TRUE,,,,,,,
date_publicly_available,fields.attachedfile,,,9,,date,,,,TRUE,"Date Publicly Available","Date Publicly Available",TRUE,,,,,,,
screen_facility_id,fields.attachedfile,screen,facility_id,10,,string,link,"{ 'hrefTemplate': '#screen/{screen_facility_id}', 'hideIfEmpty': true }",,TRUE,Screen,Screen,TRUE,,,[d],,,TRUE,
publication_id,fields.attachedfile,publication,publication_id,11,,string,link,"{ 'hrefTemplate': '#publication/{publication_id}',  'hideIfEmpty': true }",,TRUE,Publication,Publication,TRUE,,,[d],,,,
reagent_id,fields.attachedfile,reagent,reagent_id,12,,string,link,"{ 'hrefTemplate': '#reagent/{reagent_id}', 'hideIfEmpty': true }",,TRUE,Reagent,Reagent,TRUE,,,[d],,,,
comment_array,fields.attachedfile,custom,,13,,list,comment_array,,,TRUE,Comments,Comments,FALSE,,,[d],,,,[readEverythingAdmin]
