ordinal,key,scope,comment,filtering,description,title,ordering,json_field_type,vocabulary_scope_ref,visibility,editability,data_type,display_type,display_options,edit_type,is_restricted
0,key,fields.resource,,TRUE,"This is a composite key, along with scope",Key,TRUE,,,[l;d;e],[c],string,link,"{ 'hrefTemplate': '#resource/{key}' }",,
1,scope,fields.resource,,TRUE,"This is a composite key, along with key",Scope,TRUE,,,[],[c],string,,,,
2,ordinal,fields.resource,,TRUE,"The sort order counts from 0, if two are equal in a set, then secondary sort is by key (alpha)",Ordinal,TRUE,,,[l;d;e],[c;u],integer,,,,
3,title,fields.resource,,,"The title of this field",Title,TRUE,fields.CharField,,[l;d;e],[c;u],string,link,"{ 'hrefTemplate': '#resource/{key}' }",,
4,description,fields.resource,,,"Description of the resource",Description,,fields.CharField,,[l;d;e],[c;u],string,,,,
5,comment,fields.resource,,,"Comment on the resource",Comment,,fields.CharField,,[l;d;e],[c;u],string,,,,
7,visibility,fields.resource,,,"Where the resource is visible",Visibility,,fields.ListField,resource.visibility,[l;d;e],[c;u],list,,,multiselect,
99,id,fields.resource,,TRUE,"Internal use only ID",ID,,,,[],,string,,,,
99,resource_uri,fields.resource,,,"The URI for this field","Resource URI",,,,[],,string,,,,
99,alias,fields.resource,,TRUE,"Alternate input names for the field",Alias,,,,[],[c;u],string,,,,
10,id_attribute,fields.resource,,,"Determines the public id attribute","ID Attribute",,fields.ListField,,[l;d;e],[c;u],list,,,,
11,title_attribute,fields.resource,,,"Determines the display id attribute","Title Attribute",,fields.ListField,,[l;d;e],[c;u],list,,,,
12,is_restricted,fields.resource,,,"Whether this resource requires explicit permissions to view, edit, or create","Is Restricted",,,,[l;d;e],[c;u],boolean,,,,
13,api_name,fields.resource,"One of [db,reports]",,"The name of the API serving this resource","API Name",,fields.CharField,,[l;d;e],[c;u],string,,,,
14,table,fields.resource,"Default database table for fields",,"Unless overriden in the field specification","Database Table",,fields.CharField,,[d;e],[c;u],string,,,,
15,linked_table_module,fields.resource,"Use the full Python style path, i.e. <module.module.Class>",,"The table model used to hold the complex linked fields (only one allowed)","Linked Field Table Module",,fields.CharField,,[d;e],[c;u],string,,,,
16,supertype,fields.resource,,,"The fields from the supertype resource are extended by this resource",Supertype,,fields.CharField,,[l;d;e],[c;u],string,,,,
17,content_types,fields.resource,"Note that the resource will serve whatever types are implemented.  Also, JSON and CSV are served by default.  This settings is mostly useful for populating the user download dropdown.",,"Types of content this resource can serve: using abbreviated names (csv,xls,etc)","Content Types",,fields.ListField,resource.content_type,[d;e],[c;u],list,,,multiselect,
18,require_comment_on_save,fields.resource,,,"Require save actions (create/update) to include a comment field","Require Save Comment",,fields.BooleanField,,[d;e],[c;u],boolean,,,,
